Office Name*','Phone Number','Fax Number','Physical Address Line 1*','Address Line 2','County*','City*','State*','ZIP*','ZIP+4
Marion East Local Office','1-800-403-0864','1-800-403-0864','1213 N ARLINGTON','','MARION','INDIANAPOLIS','Indiana','46219','3202
MARSHALL Local Office','1-800-403-0864','1-800-403-0864','510 W ADAMS ST ','STE  210','MARSHALL','PLYMOUTH','Indiana','46563','1785
MARTIN Local Office','1-800-403-0864','1-800-403-0864','609 RAVINE ST ',' ','MARTIN','SHOALS','Indiana','47581','2250
MIAMI Local Office','1-800-403-0864','1-800-403-0864','14 S WABASH ST','','MIAMI','PERU','Indiana','46970','2209
MONROE Local Office','1-800-403-0864','1-800-403-0864','1711 N COLLEGE AVE','STE 101','MONROE','BLOOMINGTON','Indiana','47404','2540
MONTGOMERY Local Office','1-800-403-0864','1-800-403-0864','1633 EASTWAY DR ',' ','MONTGOMERY','CRAWFORDSVILLE','Indiana','47933','3793
MORGAN Local Office','1-800-403-0864','1-800-403-0864','7851 WAVERLY RD','','MORGAN','MARTINSVILLE','Indiana','46151','7613
NEWTON Local Office','1-800-403-0864','1-800-403-0864','4117 S 240 W','STE 200B','NEWTON','MOROCCO','Indiana','47963','8196
NOBLE Local Office','1-800-403-0864','1-800-403-0864','702 GOODWIN PL','STE A','NOBLE','KENDALLVILLE','Indiana','46755','1143
OHIO Local Office','1-800-403-0864','1-800-403-0864','215 MAIN ST','STE 1','OHIO','RISING SUN','Indiana','47040','1273
ORANGE Local Office','1-800-403-0864','1-800-403-0864','326 B N GOSPEL ST ','STE B','ORANGE','PAOLI','Indiana','47454','1655
OWEN Local Office','1-800-403-0864','1-800-403-0864','450 E FRANKLIN','STE B','OWEN','SPENCER','Indiana','47460','1824
PARKE Local Office','1-800-403-0864','1-800-403-0864','513 ROCKVILLE RD','','PARKE','ROCKVILLE','Indiana','47872','1226
PERRY Local Office','1-800-403-0864','1-800-403-0864','8735 STATE RD 37 ','STE A','PERRY','TELL CITY','Indiana','47586','8349
PIKE Local Office','1-800-403-0864','1-800-403-0864','2105 E MAIN ST ','STE B','PIKE','PETERSBURG','Indiana','47567','8870
PORTER Local Office','1-800-403-0864','1-800-403-0864','2600 ROOSEVELT RD','STE 200-1','PORTER','VALPARAISO','Indiana','46383','0.0971
POSEY Local Office','1-800-403-0864','1-800-403-0864','1809 N MAIN ST ','STE B','POSEY','MOUNT VERNON','Indiana','47620','1209
PULASKI Local Office','1-800-403-0864','1-800-403-0864','710 N PLYMOUTH RD','PO BOX 347','PULASKI','WINAMAC','Indiana','46996','7641
PUTNAM Local Office','1-800-403-0864','1-800-403-0864','1020 AVENUE F ','STE A','PUTNAM','GREENCASTLE','Indiana','46135','1895
RANDOLPH Local Office','1-800-403-0864','1-800-403-0864','221 N MAIN ST ','','RANDOLPH','WINCHESTER','Indiana','47394','1626
RIPLEY Local Office','1-800-403-0864','1-800-403-0864','888 S ADAMS ST ','','RIPLEY','VERSAILLES','Indiana','47042','9420
RUSH Local Office','1-800-403-0864','1-800-403-0864','148 E US HIGHWAY 52','','RUSH','RUSHVILLE','Indiana','46173','7901
ST. JOSEPH Local Office','1-800-403-0864','1-800-403-0864','300 N MICHIGAN STREET','STE 250','ST. JOSEPH','SOUTH BEND','Indiana','46601','1251
ST. JOSEPH Local Office','1-800-403-0864','1-800-403-0864','100 W SOUTH ST ','2ND FLOOR','ST. JOSEPH','SOUTH BEND','Indiana','46601','2434
ST. JOSEPH Local Office','1-800-403-0864','1-800-403-0864','102 N CENTER ST','STE 500','ST. JOSEPH','MISHAWAKA','Indiana','46544','1232
SCOTT Local Office','1-800-403-0864','1-800-403-0864','1048 W COMMUNITY WAY','','SCOTT','SCOTTSBURG','Indiana','47170','7768
SHELBY Local Office','1-800-403-0864','1-800-403-0864','818 ELSTON DR ','STE A','SHELBY','SHELBYVILLE','Indiana','46176','1823
SPENCER Local Office','1-800-403-0864','1-800-403-0864','201 ELM ST ','','SPENCER','ROCKPORT','Indiana','47635','1409
STARKE Local Office','1-800-403-0864','1-800-403-0864','1921 S HEATON ST','','STARKE','KNOX','Indiana','46534','2325
STEUBEN Local Office','1-800-403-0864','1-800-403-0864','202 E HARCOURT RD','STE V','STEUBEN','ANGOLA','Indiana','46703','7198
SULLIVAN Local Office','1-800-403-0864','1-800-403-0864','124 S STATE ST ',' ','SULLIVAN','SULLIVAN','Indiana','47882','1841
SWITZERLAND Local Office','1-800-403-0864','1-800-403-0864','1035 W MAIN ST STE 3','','SWITZERLAND','VEVAY','Indiana','47043','9125
TIPPECANOE Local Office','1-800-403-0864','1-800-403-0864','3847 STATE ROAD 26 E','','TIPPECANOE','LAFAYETTE','Indiana','47905','4872
TIPTON Local Office','1-800-403-0864','1-800-403-0864','120 N MAIN ST','','TIPTON','TIPTON','Indiana','46072','1603
UNION Local Office','1-800-403-0864','1-800-403-0864','303A N MAIN ST ','','UNION','LIBERTY','Indiana','47353','1013
VANDERBURGH Local Office','1-800-403-0864','1-800-403-0864','711 JOHN ST ','STE C','VANDERBURGH','EVANSVILLE','Indiana','47713','2754
VERMILLION Local Office','1-800-403-0864','1-800-403-0864','121 N MAIN ST ','','VERMILLION','CLINTON','Indiana','47842','2426
VIGO Local Office','1-800-403-0864','1-800-403-0864','1800 FORT HARRISON RD','STE 17','VIGO','TERRE HAUTE','Indiana','47804','1413
WABASH Local Office','1-800-403-0864','1-800-403-0864','85 W CANAL ST ','','WABASH','WABASH','Indiana','46992','3109
WARREN Local Office','1-800-403-0864','1-800-403-0864','18 W SECOND ST ','','WARREN','WILLIAMSPORT','Indiana','47993','1118
WARRICK Local Office','1-800-403-0864','1-800-403-0864','911 W MAIN ST','','WARRICK','BOONVILLE','Indiana','47601','1567
WASHINGTON Local Office','1-800-403-0864','1-800-403-0864','1101 JIM DAY RD','STE 109','WASHINGTON','SALEM','Indiana','47167','5201
WAYNE Local Office','1-800-403-0864','1-800-403-0864','50 SOUTH 2ND ST ','','WAYNE','RICHMOND','Indiana','47374','4212
WELLS Local Office','1-800-403-0864','1-800-403-0864','915 N MAIN ST ','STE 102','WELLS','BLUFFTON','Indiana','46714','1328
WHITE Local Office','1-800-403-0864','1-800-403-0864','1011 N 6TH ST ','','WHITE','MONTICELLO','Indiana','47960','1590
WHITLEY Local Office','1-800-403-0864','1-800-403-0864','543 N LINE ST',' STE B','WHITLEY','COLUMBIA CITY','Indiana','46725','1258
